timestamp,name,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_e_x,gt_rot_e_y,gt_rot_e_z,c_pos_x,c_pos_y,c_pos_z,c_rot_e_x,c_rot_e_y,c_rot_e_z,before
2023-2-3-13-19-15,img_0,0.116,-2.98E-08,0.1075,0,270,0,0.1173044,0.007398158,0.1045355,0.01065962,269.9071,359.9325,na
2023-2-3-13-19-51,img_1,3.075,-0.715,-0.91,0,0,0,3.027475,-0.6954254,-0.9315771,352.0949,3.292301,359.6376,img_0
2023-2-3-13-20-40,img_2,3.075,-0.715,-4.41,0,0,0,2.707604,-0.6704437,-4.367543,359.3773,358.781,358.9608,img_1
2023-2-3-13-21-30,img_3,-2.925,-0.715,-3.91,0,0,0,-3.219882,-0.6816314,-4.041006,357.4456,355.8961,357.3494,img_2
2023-2-3-13-22-28,img_4,-10.425,-0.715,-0.91,0,0,0,-10.90555,-0.7670557,-1.58693,358.7078,356.0108,1.151649,img_3
2023-2-3-13-24-35,img_5,-7.425,-0.715,-4.41,0,0,0,-7.804983,-0.6882312,-4.943472,352.6822,355.6915,357.0773,img_4
