identifier,pos x,pos y,pos z,status
3903,0.2061108,0.0409065,-0.6307144,success
3913,0.2171774,0.03424697,-0.6245445,success
3935,0.2676545,0.03400359,-0.6022113,success
3949,0.2381725,0.03497329,-0.6548629,success
4027,0.2380145,0.02085163,-0.563397,success
4037,0.2152793,0.02699846,-0.6006926,success
4053,0.2101213,0.02859719,-0.6061047,success
4054,0.2096428,0.03232937,-0.5801481,success
4063,0.2215396,0.033897,-0.5776623,success
4077,0.235512,0.03371872,-0.5993761,success
4188,0.2149813,0.02822512,-0.618656,success
107,0.322342,0.03715143,-0.6999297,success
2193,0.2420305,0.02551647,-0.7082502,success
3314,0.2769302,0.02533875,-0.7072051,success
3936,0.2779524,0.02614014,-0.7027233,success
3946,0.245914,0.03069739,-0.6794813,success
3957,0.2520213,0.02877311,-0.7065608,success
4076,0.2404894,0.02490152,-0.6311747,success
4093,0.2569865,0.02430725,-0.6399434,success
4118,0.2752904,0.02772006,-0.5634329,success
4189,0.2381934,0.02574456,-0.6660867,success
4202,0.2452692,0.0255651,-0.5627761,success
4205,0.242999,0.02454136,-0.5892414,success
4216,0.2215957,0.02899076,-0.6078876,success
4217,0.2240122,0.02630554,-0.6098143,success
4218,0.2227554,0.0278011,-0.5788246,success
4238,0.2556611,0.02711336,-0.6228957,success
4246,0.2678863,0.02673474,-0.6388265,success
4259,0.2382604,0.02790438,-0.5958786,success
4271,0.2262702,0.02735266,-0.5992705,success
4288,0.2486953,0.02895376,-0.5642663,success
4614,0.1604232,0.1867301,-0.6126308,success
4159,0.3297066,0.03406851,-0.6887083,success
4197,0.2973,0.02305996,-0.6291381,success
4200,0.3006903,0.02025577,-0.5373746,success
4225,0.2425157,0.02451232,-0.6881741,success
4235,0.2788816,0.02371863,-0.7215074,success
4335,0.2146113,0.1270601,-0.6524788,success
4338,0.2103963,0.02409464,-0.6327804,success
4342,0.228608,0.01849429,-0.5972522,success
4351,0.2739756,0.02340825,-0.6364221,success
4352,0.2750021,0.02402708,-0.6446857,success
4355,0.2775072,0.02705361,-0.6689076,success
4366,0.2969949,0.023443,-0.6552445,success
4374,0.2764128,0.02460679,-0.6298857,success
4377,0.2761059,0.02446684,-0.6634734,success
4381,0.214909,0.02115686,-0.5887699,success
4384,0.2490234,0.0246228,-0.6651144,success
4390,0.2420727,0.02500705,-0.7046609,success
4427,0.252367,0.02706771,-0.6263039,success
4438,0.2776942,0.02576932,-0.6479564,success
4440,0.2548295,0.02343327,-0.7057194,success
4737,0.176111,0.1701294,-0.6206293,success
4747,0.1608313,0.1851267,-0.6150486,success
4780,0.1728721,0.1689293,-0.6228459,success
4370,0.2955548,0.02094318,-0.5458481,success
4402,0.3192926,0.04039668,-0.7185686,success
4415,0.2733335,0.02009712,-0.7080576,success
4478,0.2666217,0.01492116,-0.6407356,success
4481,0.2823826,0.01392278,-0.6293008,success
4485,0.3002205,0.01997642,-0.6015885,success
4505,0.2453701,0.01765805,-0.6238598,success
4510,0.2774718,0.01760094,-0.6549973,success
4518,0.257953,0.02006055,-0.6259789,success
4526,0.2562594,0.02183165,-0.6727092,success
4532,0.2908028,0.01906414,-0.7002819,success
4535,0.2913485,0.01862291,-0.6831357,success
4539,0.2907532,0.01978444,-0.6653867,success
4543,0.2613271,0.01983224,-0.7209605,success
4552,0.2273623,0.01990674,-0.7157615,success
4573,0.2610523,0.02400103,-0.6907091,success
4630,0.2249067,0.03792812,-0.5686323,success
4638,0.2255446,0.02277859,-0.5936192,success
4639,0.2305649,0.01627068,-0.6168091,success
4699,0.21538,0.01904422,-0.6060373,success
4606,0.2952041,0.02382077,-0.7279931,success
4608,0.305692,0.01168391,-0.6777989,success
4609,0.3017752,0.01686066,-0.6488636,success
4610,0.3025426,0.0166215,-0.6201095,success
4611,0.3030955,0.01580548,-0.6115558,success
4653,0.2601339,0.01663913,-0.7120132,success
4683,0.2232083,0.02014217,-0.7156969,success
4695,0.2830991,0.01635101,-0.7035276,success
4727,0.2341516,0.01911236,-0.7102258,success
4749,0.2301363,0.01573394,-0.6520435,success
4755,0.2434547,0.01482201,-0.6349793,success
4761,0.2437258,0.01793532,-0.6152758,success
4763,0.251835,0.01784049,-0.7194911,success
4784,0.2785784,0.01996443,-0.6824648,success
4793,0.2282851,0.02198385,-0.5961429,success
4819,0.2625116,0.0176336,-0.7091832,success
4831,0.2591152,0.01871188,-0.5878054,success
4855,0.2799233,0.02121647,-0.6837708,success
2687,0.2880802,0.01208076,-0.6566951,success
4741,0.2331455,0.1024004,-0.6652014,success
4758,0.2958387,0.01497099,-0.6648722,success
4786,0.283748,0.01376779,-0.5920106,success
4821,0.2851611,0.01518285,-0.5622582,success
4896,0.3046294,0.01347692,-0.6391677,success
4907,0.2142688,0.01507184,-0.5735163,success
4910,0.2951404,0.01693802,-0.7276254,success
4917,0.2846335,0.009851992,-0.6116132,success
4928,0.2761884,0.01561067,-0.6927837,success
4930,0.2433042,0.01429673,-0.6661922,success
4937,0.2446025,0.01704279,-0.6762108,success
4939,0.2618863,0.01431794,-0.6599365,success
4940,0.226802,0.01824045,-0.7013306,success
4941,0.2608871,0.01319714,-0.6621619,success
4942,0.2601103,0.01660369,-0.6945007,success
4951,0.2116989,0.01752532,-0.7154158,success
4958,0.2404755,0.0179074,-0.7213836,success
4961,0.3047134,0.01507196,-0.6983984,success
4964,0.209663,0.02147028,-0.7144611,success
