name,parent,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,sca_x,sca_y,sca_z
root,none,-0.1075,0,0.1175,0,90,0,1,1,1
tissuepack,root,0.06,0.015,0.5,0,0,0,0.12,0.03,0.2
monitor,root,0.24,0.325,0.55,0,-25,0,0.61,0.36,0.06
box,root,0.925,0.05,0.525,0,0,0,0.25,0.1,0.14
cord,root,1.43,0.015,0.65,0,0,0,0.3,0.03,0.04
